Provinsi;2018;2019;2020;2021;2022;2023
Aceh;572.104,00;281.520,00;361.241,00;550.931,00;1.013.561,00;385.417,00
Bali;51.165,00;41.410,00;2.408,00;316,00;0,00;95.214,00
Bangka Belitung;345.632,00;839.454,00;253.108,00;132.470,00;49.912,00;727.226,00
Banten;0,00;2.134,00;423,00;0,00;0,00;228,00
Bengkulu;889,00;3.912,00;28.985,00;10.952,00;283.511,00;13.372,00
DKI Jakarta;0,00;0,00;0,00;0,00;0,00;0,00
Gorontalo;16.930,00;189.475,00;5.612,00;6.519,00;5.393,00;46.344,00
IKN;0;0;0;0;0;0
Jambi;1.038.931,00;29.884.752,00;138.961,00;126.338,00;200.838,00;1.082.497,00
Jawa Barat;244.995,00;743.929,00;348.260,00;128.017,00;71.637,00;626.097,00
Jawa Tengah;5.160,00;491.617,00;85.750,00;90.504,00;19.537,00;1.193.013,00
Jawa Timur;1.059.894,00;3.872.134,00;2.212.151,00;2.042.032,00;280.367,00;7.489.228,00
Kalimantan Barat;43.554.165,00;71.642.105,00;2.159.837,00;14.652.006,00;6.936.347,00;27.649.104,00
Kalimantan Selatan;15.447.181,00;19.994.430,00;241.705,00;1.277.416,00;55.191,00;19.398.495,00
Kalimantan Tengah;34.182.439,00;216.133.847,00;2.313.223,00;909.031,00;160.507,00;44.938.470,00
Kalimantan Timur;7.029.802,00;12.852.068,00;779.825,00;436.334,00;65.065,00;7.498.935,00
Kalimantan Utara;198.190,00;1.112.651,00;269.849,00;268.889,00;41.129,00;122.148,00
Kepulauan Riau;36.752,00;651.434,00;602.348,00;162.770,00;2.535,00;76.619,00
Lampung;2.557.810,00;6.642.737,00;159.258,00;556.105,00;807.457,00;842.025,00
Maluku;506.543,00;2.511.141,00;1.824.612,00;1.105.080,00;1.073.419,00;3.163.021,00
Maluku Utara;7.548,00;238.113,00;9.770,00;8.317,00;15.412,00;43.787,00
Nusa Tenggara Barat;1.220.500,00;3.544.094,00;1.623.911,00;4.975.536,00;1.155.451,00;2.329.867,00
Nusa Tenggara Timur;3.486.993,00;8.810.217,00;6.546.923,00;5.342.001,00;1.904.876,00;5.186.116,00
Papua;4.652.415,00;6.646.052,00;1.803.978,00;1.600.134,00;858.424,00;40.730,00
Papua Barat;192.028,00;898.894,00;2.701.410,00;4.542,00;368.979,00;38.004,00
Papua Barat Daya;0;0;0;0;0;7.833,00
Papua Pegunungan;0;0;0;0;0;49.177,00
Papua Selatan;0;0;0;0;0;8.989.955,00
Papua Tengah;0;0;0;0;0;882.464,00
Riau;37.236.912,00;72.081.698,00;12.422.996,00;8.986.804,00;2.496.402,00;3.320.653,00
Sulawesi Barat;55.088,00;153.410,00;30.576,00;62.055,00;40.314,00;172.290,00
Sulawesi Selatan;120.671,00;818.516,00;116.939,00;24.297,00;43.587,00;224.663,00
Sulawesi Tengah;340.958,00;871.489,00;239.088,00;189.930,00;227.631,00;762.112,00
Sulawesi Tenggara;788.725,00;1.620.921,00;216.246,00;68.205,00;97.592,00;903.572,00
Sulawesi Utara;4.008,00;340.325,00;6.645,00;7.845,00;12.362,00;89.897,00
Sumatera Barat;1.701.825,00;1.029.562,00;660.876,00;1.028.498,00;3.790.938,00;2.042.794,00
Sumatera Selatan;3.699.638,00;158.329.629,00;612.278,00;869.492,00;365.957,00;41.707.676,00
Sumatera Utara;2.397.182,00;885.018,00;1.425.416,00;841.901,00;1.087.514,00;559.002,00
Yogyakarta;0,00;5.297,00;246,00;0,00;0,00;16.393,00
Total;162.753.073,00;624.163.985,00;40.204.854,00;46.465.267,00;23.531.845,00;182.714.438,00
